#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
585	chr1	0	100000	1	N	100000	telomere	no
259	chr1	195371971	195471971	19	N	100000	telomere	no
585	chr2	0	100000	1	N	100000	telomere	no
246	chr2	182013224	182113224	18	N	100000	telomere	no
585	chr3	0	100000	1	N	100000	telomere	no
225	chr3	159939680	160039680	11	N	100000	telomere	no
585	chr4	0	100000	1	N	100000	telomere	no
222	chr4	156408116	156508116	11	N	100000	telomere	no
585	chr5	0	100000	1	N	100000	telomere	no
217	chr5	151734684	151834684	27	N	100000	telomere	no
585	chr6	0	100000	1	N	100000	telomere	no
215	chr6	149636546	149736546	13	N	100000	telomere	no
211	chr7	145341459	145441459	13	N	100000	telomere	no
585	chr7	0	100000	1	N	100000	telomere	no
196	chr8	129301213	129401213	13	N	100000	telomere	no
585	chr8	0	100000	1	N	100000	telomere	no
585	chr9	0	100000	1	N	100000	telomere	no
191	chr9	124495110	124595110	17	N	100000	telomere	no
585	chrX	0	100000	1	N	100000	telomere	no
1889	chrX	170931299	171031299	45	N	100000	telomere	no
585	chrY	0	100000	1	N	100000	telomere	no
1284	chrY	91644698	91744698	35	N	100000	telomere	no
585	chr10	0	100000	1	N	100000	telomere	no
197	chr10	130594993	130694993	10	N	100000	telomere	no
585	chr11	0	100000	1	N	100000	telomere	no
189	chr11	121982543	122082543	8	N	100000	telomere	no
585	chr12	0	100000	1	N	100000	telomere	no
187	chr12	120029022	120129022	7	N	100000	telomere	no
585	chr13	0	100000	1	N	100000	telomere	no
187	chr13	120321639	120421639	13	N	100000	telomere	no
585	chr14	0	100000	1	N	100000	telomere	no
1537	chr14	124802244	124902244	7	N	100000	telomere	no
585	chr15	0	100000	1	N	100000	telomere	no
1378	chr15	103943685	104043685	10	N	100000	telomere	no
166	chr16	98107768	98207768	7	N	100000	telomere	no
585	chr16	0	100000	1	N	100000	telomere	no
585	chr17	0	100000	1	N	100000	telomere	no
163	chr17	94887271	94987271	9	N	100000	telomere	no
585	chr18	0	100000	1	N	100000	telomere	no
159	chr18	90602639	90702639	9	N	100000	telomere	no
585	chr19	0	100000	1	N	100000	telomere	no
131	chr19	61331566	61431566	7	N	100000	telomere	no
